Distance,Height,Angle,PathLoss,
382.62,1.88,0,NaN,100.7185663888
382.45,1.88,0,99.44,100.7326516092
382.29,1.88,0,NaN,100.7457321841
381.97,1.88,0,99.466,100.7713890165
381.81,1.88,0,99.632,100.7839691485
381.65,1.88,0,NaN,100.7963863049
381.32,1.88,0,99.416,100.8214900114
381.16,1.88,0,99.417,100.8334196824
381,1.88,0,NaN,100.8451939
380.67,1.88,0,99.427,100.8689949428
380.51,1.88,0,NaN,100.8803041915
380.18,1.88,0,99.373,100.9031631776
380.01,1.88,0,99.408,100.9146977794
379.85,1.88,0,99.332,100.9254064099
379.69,1.88,0,99.37,100.935973737
379.53,1.88,0,99.363,100.9464014006
379.36,1.88,0,NaN,100.9573295767
378.86,1.88,0,99.711,100.9885863031
378.69,1.88,0,NaN,100.9989187917
378.2,1.88,0,NaN,101.0278869603
378.02,1.88,0,99.342,101.0382310333
377.86,1.88,0,99.367,101.0472943529
377.7,1.88,0,NaN,101.0562354897
377.52,1.88,0,99.379,101.0661499919
377.36,1.88,0,NaN,101.0748361914
377.02,1.88,0,99.383,101.0929049634
376.86,1.88,0,99.448,101.1012275948
376.69,1.88,0,NaN,101.1099459944
376.52,1.88,0,NaN,101.1185377829
376.34,1.88,0,99.482,101.1274987102
376.18,1.88,0,99.533,101.1353477752
376.01,1.88,0,99.535,101.1435690553
375.84,1.88,0,99.628,101.1516698774
375.68,1.88,0,NaN,101.1591854789
375.5,1.88,0,99.509,101.1675160952
375.33,1.88,0,99.554,101.1752644188
375.17,1.88,0,99.654,101.1824522452
375,1.88,0,99.493,101.1899794039
374.83,1.88,0,99.312,101.1973947002
374.66,1.88,0,NaN,101.2046995197
374.48,1.88,0,99.389,101.2123151392
374.31,1.88,0,99.527,101.2193967967
374.14,1.88,0,99.547,101.2263721102
373.97,1.88,0,99.401,101.2332423972
373.8,1.88,0,99.385,101.2400089586
373.63,1.88,0,99.399,101.2466730793
373.46,1.88,0,NaN,101.2532360284
373.29,1.88,0,99.643,101.2596990592
373.11,1.88,0,NaN,101.2664347359
372.94,1.88,0,99.438,101.2726959325
372.76,1.88,0,99.407,101.2792206267
372.59,1.88,0,99.408,101.2852851024
372.42,1.88,0,NaN,101.2912558337
372.07,1.88,0,NaN,101.3032582642
371.89,1.88,0,99.441,101.3092813794
371.72,1.88,0,99.406,101.314878179
371.54,1.88,0,99.408,101.3207083589
371.37,1.88,0,99.444,101.3261252635
371.2,1.88,0,NaN,101.3314564409
370.84,1.88,0,99.389,101.3424677934
370.67,1.88,0,NaN,101.3475384523
370.3,1.88,0,99.304,101.3582944262
